"","id","architecture","evaluated","loss","metric","saved_model"
"1","1","nnnn/n/nn/nnn","TRUE","1.0978357723781","0.352380952522868","nnnn_n_nn_nnn-1"
"2","2","nnnn/nnnnn/nnn","TRUE","0.020557306990737","1","nnnn_nnnnn_nnn-2"
"3","3","nnnn/n/nnn","TRUE","1.09781828153701","0.352380952522868","nnnn_n_nnn-3"
"4","4","nnnn/n/nnn","TRUE","1.09781576678866","0.352380952522868","nnnn_n_nnn-4"
"5","5","nnnn/n/nnn","TRUE","1.09781742550078","0.352380952522868","nnnn_n_nnn-5"
"6","6","nnnn/nn/nnn","TRUE","1.09780379363469","0.352380952522868","nnnn_nn_nnn-6"
"7","7","nnnn/n/nnn","TRUE","1.09781054088048","0.352380952522868","nnnn_n_nnn-7"
"8","8","nnnn/n/n/nnn","TRUE","1.09781361534482","0.352380952522868","nnnn_n_n_nnn-8"
"9","9","nnnn/n/nnn","TRUE","1.09785148643312","0.352380952522868","nnnn_n_nnn-9"
"10","10","nnnn/n/nnn/nnn","TRUE","1.09783014456431","0.352380952522868","nnnn_n_nnn_nnn-10"
"11","11","nnnn/nn/nnn","TRUE","1.09780474390302","0.352380952522868","nnnn_nn_nnn-11"
"12","12","nnnn/nnnn/nnn","TRUE","0.0174358472937629","1","nnnn_nnnn_nnn-12"
"13","13","nnnn/nnnn/nnn","TRUE","0.00937579456894171","1","nnnn_nnnn_nnn-13"
"14","14","nnnn/nnnn/nnn/nnn","TRUE","1.09786051227933","0.352380952522868","nnnn_nnnn_nnn_nnn-14"
"15","15","nnnn/nn/nn/nnn","TRUE","0.0141968467405864","1","nnnn_nn_nn_nnn-15"
"16","16","nnnn/n/nnn","TRUE","1.09781432038262","0.352380952522868","nnnn_n_nnn-16"
"17","17","nnnn/nnn/n/nnnnn/nnn/n/nnn","TRUE","0.0820961607354028","0.980952381520044","nnnn_nnn_n_nnnnn_nnn_n_nnn-17"
"18","18","nnnn/n/n/nnn","TRUE","1.09782282284328","0.352380952522868","nnnn_n_n_nnn-18"
"19","19","nnnn/n/nnn","TRUE","0.0783430123612994","1","nnnn_n_nnn-19"
"20","20","nnnn/n/nn/n/nnn","TRUE","1.09781103247688","0.352380952522868","nnnn_n_nn_n_nnn-20"
"21","21","nnnn/n/nnn","TRUE","1.0978461481276","0.352380952522868","nnnn_n_nnn-21"
"22","22","nnnn/nn/n/n/nnn","TRUE","0.0766872322275525","1","nnnn_nn_n_n_nnn-22"
"23","23","nnnn/nnnnnnn/nnnnn/nnn","TRUE","0.0364747062325478","1","nnnn_nnnnnnn_nnnnn_nnn-23"
"24","24","nnnn/nnn/nnn","TRUE","0.0174172922259285","1","nnnn_nnn_nnn-24"
"25","25","nnnn/n/n/nnn","TRUE","1.09781621070135","0.352380952522868","nnnn_n_n_nnn-25"
