"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnnnnnnn/nnnnn/nnnn",0.925244755194737,0.927784577767152,0.928536466068925,0.932587412537395,0.937821297458803,0.936857562787499,22.08
"2","nnnnnnnnn/nnnnnn/nnnn",0.922937062887045,0.927050183627713,0.924131179725313,0.944545454495437,0.945410036734297,0.94077337287071,18.18
"3","nnnnnnnnn/nnnn/nnnn",0.915804195820868,0.918237454100367,0.916299559850641,0.926013986030659,0.930722154251948,0.930494371402281,16.88
"4","nnnnnnnnn/nnnnnnn/nnnn",0.926503496453479,0.933659730751336,0.927557513548122,0.943636363669709,0.945899632817529,0.940773372578959,11.69
"5","nnnnnnnnn/nnnnnnnn/nnnn",0.927342657325985,0.928518971848225,0.92853646615645,0.945034964984947,0.948592411275301,0.948115516193229,9.09
"6","nnnnnnnnn/nnn/nnnn",0.905384615334597,0.90917992658977,0.90895741536112,0.916923076873059,0.924357405169941,0.917278511787943,3.9
"7","nnnnnnnnn/nnnnnnnnn/nnnn",0.927832167815495,0.934149326834568,0.932452275947911,0.941678321711667,0.943206854388939,0.936368086235347,3.9
"8","nnnnnnnnn/nnnn/nnnn/nnnn",0.913566433533088,0.917747858060909,0.908957415944621,0.921258741258741,0.925581395378019,0.921683798423306,2.6
"9","nnnnnnnnn/nnnnnn/nnnnnn/nnnn",0.921398601348584,0.92166462672676,0.924620655693964,0.944055944089289,0.94859241126071,0.943710229937142,2.6
"10","nnnnnnnnn/nnnn/nnnnn/nnnn",0.916013986030659,0.916279069782033,0.913852178256884,0.92426573429908,0.928518971862816,0.923152227000285,1.3
"11","nnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnn",0.915734265717593,0.917258261977678,0.914341654809036,0.930979020929003,0.933170134682696,0.932452276443887,1.3
"12","nnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnn",0.921048951032278,0.92998776011251,0.921194321958679,0.938671328621311,0.943941248470012,0.940773372374734,1.3
"13","nnnnnnnnn/nnnnnn/nnn/nnnnnn/nnnn",0.924895104845087,0.928763769904432,0.930983847370932,0.940979020929003,0.944186046526219,0.942731277328814,1.3
"14","nnnnnnnnn/nnnnnnnnn/nnnnnnnnn/nnnn",0.927342657325985,0.930722154251948,0.924131180017063,0.945804195754178,0.948592411275301,0.945668135474724,1.3
"15","nnnnnnnnn/nnnnnnnnnn/nnnnnnnnnn/nnnnnnnnnn/nnnn",0.929440559457232,0.932190942516233,0.927068037579472,0.931468531418514,0.935373317028055,0.931962799891735,1.3
"16","nnnnnnnnn/nnnnnnnnnnnn/nnnn",0.931608391558374,0.932680538599465,0.93587860977072,0.955034965018292,0.953243574065999,0.956926089463955,1.3
